operator,publication,site,proxy,depth,age,run,TEX86,BAY.LOW,BAY.MED,BAY.HIGH,subBAY.LOW,subBAY.MED,subBAY.HIGH,1302,1300,1298,1296,1292,1292',1050-tot,1036-tot,1022,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,0.09,0.02,LC22060000146,0.50,8.17,15.51,22.72,5.71,12.29,20.04,9.75E+06,1.53E+06,1.05E+06,1.51E+05,1.19E+07,3.21E+05,203411.90,40963.60,80540.80,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,0.23,0.02,LC22020000014,0.51,9.04,16.29,23.60,6.45,13.02,20.94,1.87E+07,3.28E+06,2.26E+06,3.27E+05,2.41E+07,7.99E+05,494723.00,100903.90,207765.00,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,0.39,0.03,LC22060000044,0.44,3.26,11.26,18.06,1.25,7.93,15.03,5.80E+07,8.25E+06,4.73E+06,6.49E+05,6.52E+07,1.16E+06,705855.10,244361.30,418753.20,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,0.64,0.04,LC22020000013,0.38,-2.49,6.55,13.75,-3.87,3.24,9.92,5.41E+07,6.27E+06,2.70E+06,4.39E+05,6.59E+07,7.05E+05,265679.00,156230.80,307584.00,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,0.89,0.05,LC22060000141,0.49,7.31,14.78,21.84,4.94,11.51,19.11,9.12E+06,1.37E+06,8.43E+05,1.52E+05,1.17E+07,3.21E+05,120320.20,41940.70,76593.20,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,1.18,0.08,LC22030000107,0.41,0.36,8.75,15.72,-1.38,5.44,12.23,1.71E+07,1.78E+06,7.79E+05,1.32E+05,1.89E+07,3.17E+05,116912.60,73118.50,134418.00,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,1.29,0.09,LC22060000112,0.55,11.87,18.91,27.03,9.07,15.71,24.23,1.27E+07,1.90E+06,1.46E+06,2.21E+05,1.82E+07,5.99E+05,714723.00,126547.30,117549.30,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,1.58,0.12,LC22030000106,0.38,-2.11,6.84,14.04,-3.53,3.54,10.26,2.91E+07,3.13E+06,1.29E+06,2.49E+05,3.20E+07,4.05E+05,222903.00,103569.20,231711.00,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,1.83,0.18,LC22060000088,0.51,9.25,16.52,23.95,6.77,13.33,21.32,7.20E+07,1.24E+07,8.48E+06,1.41E+06,9.94E+07,3.12E+06,580771.10,407239.40,727119.70,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,2.13,0.27,LC22030000105,0.39,-1.15,7.59,14.68,-2.67,4.32,11.05,6.18E+07,6.16E+06,2.53E+06,4.84E+05,6.83E+07,9.89E+05,478605.00,264749.00,510583.00,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,2.38,0.34,LC22060000027,0.37,-3.13,5.99,13.27,-4.49,2.72,9.40,1.64E+07,1.58E+06,6.08E+05,1.12E+05,1.71E+07,2.19E+05,209404.60,64452.30,142603.10,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,2.62,0.39,LC22020000006,0.53,10.71,17.88,25.56,8.05,14.67,23.03,6.01E+07,1.07E+07,7.75E+06,1.31E+06,8.94E+07,3.07E+06,3557060.00,519582.00,821459.00,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,2.92,0.40,LC22060000089,0.42,1.38,9.65,16.54,-0.41,6.35,13.26,4.06E+07,5.73E+06,2.86E+06,4.68E+05,4.83E+07,8.38E+05,264714.60,326410.50,229949.90,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,3.23,0.42,LC22020000016,0.47,5.42,13.11,20.00,3.26,9.85,17.12,3.38E+07,5.09E+06,3.00E+06,5.03E+05,4.38E+07,9.57E+05,270615.50,160833.00,291916.00,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,3.48,0.47,LC22060000023,0.45,3.64,11.52,18.38,1.64,8.26,15.39,2.73E+07,3.80E+06,2.13E+06,2.83E+05,3.21E+07,6.46E+05,305701.60,126541.00,228969.90,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,3.78,0.51,LC22030000102,0.44,3.19,11.26,18.08,1.25,7.97,14.95,9.44E+06,1.29E+06,6.97E+05,1.10E+05,1.10E+07,2.15E+05,124566.00,46136.80,98918.00,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,4.03,0.54,LC22060000026,0.42,1.25,9.54,16.42,-0.49,6.30,13.17,4.74E+06,5.49E+05,2.49E+05,4.76E+04,4.96E+06,1.01E+05,36232.00,17688.60,39221.70,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,4.28,0.56,LC22020000015,0.42,1.10,9.47,16.35,-0.62,6.12,12.95,2.83E+07,3.37E+06,1.71E+06,2.56E+05,3.16E+07,4.56E+05,216457.30,107909.60,206541.00,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,4.58,0.59,LC22060000120,0.43,2.44,10.54,17.47,0.59,7.28,14.25,5.23E+07,5.68E+06,2.69E+06,5.00E+05,6.00E+07,1.14E+06,883521.30,306248.20,547862.70,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,4.84,0.61,LC22020000019,0.35,-5.23,4.37,11.88,-6.29,1.11,7.79,6.96E+07,5.80E+06,2.25E+06,4.22E+05,6.48E+07,4.89E+05,588735.00,234464.00,427594.00,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,5.13,0.64,LC22060000128,0.47,5.29,13.02,19.92,3.06,9.70,16.96,1.73E+07,2.61E+06,1.54E+06,2.35E+05,2.05E+07,4.92E+05,219465.70,56967.30,159488.50,,,,,,
FL,"Hou et al., 2022 CP",1168,TEX86,5.38,0.65,LC22020000017,0.41,0.59,9.05,15.95,-1.04,5.74,12.63,3.63E+07,4.16E+06,2.11E+06,3.04E+05,3.79E+07,5.08E+05,286285.00,153654.90,254995.00,,,,,,
