operator,publication,site,depth,proxy,age,uk37,BAY.LOW,BAY.MED,BAY.HIGH
FL,"Hou et al., 2022 CP",1168,0.090,uk37,0.017843069,0.638047138,14.58052952,17.31143454,20.07046949
FL,"Hou et al., 2022 CP",1168,0.230,uk37,0.021598228,0.572580645,12.62694667,15.34727308,18.0851063
FL,"Hou et al., 2022 CP",1168,0.385,uk37,0.026893023,0.511460554,10.77475714,13.52487099,16.27376118
FL,"Hou et al., 2022 CP",1168,0.640,uk37,0.038156338,0.391925638,7.287806881,9.994896276,12.69640784
FL,"Hou et al., 2022 CP",1168,0.885,uk37,0.052766893,0.555667676,12.12134234,14.84287166,17.55335039
FL,"Hou et al., 2022 CP",1168,1.180,uk37,0.077932719,0.432120576,8.473771966,11.16003541,13.88476376
FL,"Hou et al., 2022 CP",1168,1.285,uk37,0.086672561,0.575228833,12.72420453,15.42877717,18.19292546
FL,"Hou et al., 2022 CP",1168,1.580,uk37,0.11800883,0.379026789,6.914965627,9.607138739,12.3289717
FL,"Hou et al., 2022 CP",1168,1.830,uk37,0.175758296,0.556791966,12.15369105,14.88354715,17.61283691
FL,"Hou et al., 2022 CP",1168,2.130,uk37,0.272102005,0.401142422,7.543228289,10.24366345,12.95451196
FL,"Hou et al., 2022 CP",1168,2.380,uk37,0.340724849,0.336211623,5.64795469,8.335473749,11.06233735
FL,"Hou et al., 2022 CP",1168,2.620,uk37,0.385523838,0.578785131,12.81432842,15.51352075,18.25270551
FL,"Hou et al., 2022 CP",1168,2.920,uk37,0.40104297,0.458895485,9.282952632,11.96168334,14.72747788
FL,"Hou et al., 2022 CP",1168,3.230,uk37,0.424299722,0.529411765,11.35030278,14.06050649,16.80506748
FL,"Hou et al., 2022 CP",1168,3.480,uk37,0.465205103,0.470192308,9.600972805,12.29291006,14.99978425
FL,"Hou et al., 2022 CP",1168,3.775,uk37,0.507304768,0.473764646,9.716937801,12.41416429,15.13406048
FL,"Hou et al., 2022 CP",1168,4.03,uk37,0.537247477,0.453485023,9.095628854,11.79518717,14.54206778
FL,"Hou et al., 2022 CP",1168,4.275,uk37,0.560063502,0.442753144,8.761089187,11.48831981,14.22993305
FL,"Hou et al., 2022 CP",1168,4.580,uk37,0.588592721,0.45442976,9.126332879,11.82817279,14.56355937
FL,"Hou et al., 2022 CP",1168,4.835,uk37,0.612456575,0.289296976,4.251527345,6.974691335,9.637547414
FL,"Hou et al., 2022 CP",1168,5.130,uk37,0.636834287,0.517149112,10.99642118,13.68091307,16.41932563
FL,"Hou et al., 2022 CP",1168,5.380,uk37,0.652238059,0.432284013,8.49665387,11.16369527,13.89754285
FL,"Hou et al., 2022 CP",1168,5.680,uk37,0.663288567,0.511212764,10.80539134,13.51649734,16.26299639
FL,"Hou et al., 2022 CP",1168,5.885,uk37,0.668037043,0.506115736,10.64539146,13.33902621,16.07501148
FL,"Hou et al., 2022 CP",1168,6.230,uk37,0.675310297,0.512928349,10.87282472,13.56706428,16.31477133
FL,"Hou et al., 2022 CP",1168,6.480,uk37,0.683278217,0.311139124,4.924797677,7.614715401,10.28804377
FL,"Hou et al., 2022 CP",1168,6.735,uk37,0.696739672,0.399597106,7.494764907,10.23014496,12.93747003
FL,"Hou et al., 2022 CP",1168,6.990,uk37,0.717716986,0.436966951,8.632377007,11.32075471,14.02046654
FL,"Hou et al., 2022 CP",1168,7.540,uk37,0.770991243,0.462373038,9.376745339,12.06311425,14.77588363
FL,"Hou et al., 2022 CP",1168,7.785,uk37,0.797677567,0.463538921,9.406650832,12.08620664,14.84805179
FL,"Hou et al., 2022 CP",1168,8.185,uk37,0.846858165,0.516550258,10.9404884,13.67040379,16.39933047
FL,"Hou et al., 2022 CP",1168,8.470,uk37,0.88714439,0.460281262,9.287386431,11.99227246,14.7026295
FL,"Hou et al., 2022 CP",1168,8.685,uk37,0.920956388,0.500595948,10.45888489,13.19637647,15.90957012
FL,"Hou et al., 2022 CP",1168,9.040,uk37,0.985654755,0.382696804,7.020008569,9.706947924,12.43219884
FL,"Hou et al., 2022 CP",1168,9.280,uk37,1.036875433,0.47788873,9.79725515,12.53104012,15.24097009
FL,"Hou et al., 2022 CP",1168,9.530,uk37,1.094120539,0.391789154,7.274734963,9.986155309,12.70464868
FL,"Hou et al., 2022 CP",1168,9.830,uk37,1.164512167,0.459258309,9.256794768,11.9670516,14.69565057
FL,"Hou et al., 2022 CP",1168,10.080,uk37,1.229093168,0.554113876,12.07827743,14.79573964,17.53786884
FL,"Hou et al., 2022 CP",1168,10.390,uk37,1.306213628,0.357660521,6.282095531,8.977434402,11.66810087
FL,"Hou et al., 2022 CP",1168,10.670,uk37,1.371566769,0.424474187,8.221950366,10.9620406,13.65724307
FL,"Hou et al., 2022 CP",1168,10.930,uk37,1.420119049,0.517647059,11.01257675,13.69995351,16.42270047
FL,"Hou et al., 2022 CP",1168,11.190,uk37,1.463375086,0.392101187,7.294092074,9.981717319,12.72016043
FL,"Hou et al., 2022 CP",1168,11.450,uk37,1.504179168,0.417734495,8.007749319,10.73587028,13.43889691
FL,"Hou et al., 2022 CP",1168,11.710,uk37,1.542073327,0.413583376,7.953245024,10.61960708,13.34258809
FL,"Hou et al., 2022 CP",1168,12.040,uk37,1.585260509,0.456387665,9.170595677,11.90388008,14.59092961
FL,"Hou et al., 2022 CP",1168,12.300,uk37,1.614373694,0.451387214,9.032525576,11.74032851,14.46481037
FL,"Hou et al., 2022 CP",1168,12.560,uk37,1.634904644,0.505747126,10.63337277,13.34113656,16.06035439
FL,"Hou et al., 2022 CP",1168,12.830,uk37,1.648731657,0.553971487,12.07383175,14.79348044,17.50729673
FL,"Hou et al., 2022 CP",1168,13.080,uk37,1.657518531,0.377257286,6.867782026,9.566514789,12.28003098
FL,"Hou et al., 2022 CP",1168,13.380,uk37,1.666690649,0.47684431,9.769106855,12.50049734,15.20435342
FL,"Hou et al., 2022 CP",1168,13.640,uk37,1.676675953,0.430162413,8.419778411,11.12142664,13.84900642
FL,"Hou et al., 2022 CP",1168,13.930,uk37,1.693776489,0.446792453,8.896856885,11.62831643,14.34376988
